韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
			偈			
			汽			
		5	其			
			亓			
			圻			
			奇			
			期			
			沂			
			淇			
			琦			
			琪			
			畸			
			俟			
			祈			
			祇			
			衹			
			祁			
			祺			
			綦			
			耆			
			芪			
			蘄			
			蚑			
			蜞			
			頎			
			騏			
			鬐			
			鰭			
			麒			
		7	忌			
	gh	2	擬		00011	
			儗		00011	
		5	疑			
			嶷			
	h	1	希			
			唏			
			嘻			
			僖			
			兮			
			嬉			
			巇			
			晞			
			曦			
			欷			
			禧			
			稀			
			絺			
			羲			
			浠			
			烯			
			熙			
			郗			
			醯			
			頤			
			熹			
			犧			
		2	喜			
			蟢			
		3	戲			
			屓	屭		
		5	奚			
			畦		11110	
			蹊			
			蠵			
			豀	谿		
			鼷			
		6	系			
			係			
			繫			
			拽			
			勩			
			攜			
			跩			
			曳			
			禊			
	z	1	齏			
		2	只			
			鱭			
			姊		00001	
			址			
			指			
			旨			
			枳			
			酯			
			止			
			沚			
			祉			
			秭			
			咫			
			籽			
			笫			
			紫			
			芷			
			詣			
			茝			
			濟			
			趾			
			黹			
		3	制			
			製			
			鷙			
			劑			
			幟			
			識			
			志			
			掣			
			瘵			
			摯			
			濟			
			傺			
			熾			
			祭			
			瘛			
			瘈			
			至			
			誌			
			質			
			贄			
			躋			
			躓			
			際			
			霽			
		4	折			
			摺			
			接			
			褶			
		6	巳			
			舐			
		7	寺		00001	
		8	折			
			舌			
	c	1	妻			
			嗤			
			媸			
			差			
			棲			
			嗜			
			淒			
			筮			
			癡			
			篪			
			笞			
			萋			
			蚩			
			郪			
			鴟			
			鰭			
		2	褫			
		3	弒			
			刺			
			試			
			翅			
		4	彳			
		5	遲			
			墀			
			齊			
			薺			
			蚳			
			蠐			
			馳			
		6	市			
			鈰			
		7	飼			
		8	蠘			
	s	1	司			
			尸			
			屍			
			施			
			樨			
			絲			
			硒			
			葹			
			蓍			
			詩			
			鷥			
		2	死			
			郤			
			兕			
			屣			
			弛			
			枲			
			矢			
			葸			
			蓰			
			豕			
			始			
		3	四			
			世			
			肆			
			勢			
		4	薛			
			契			
		5	時			
			塒			
			蒔			
			辭			
			鰣			
			匙			
		6	氏			
			侍			
			峙			
			恃			
			是			
			蒔			
			視			
		7	示			
			誓			
			視			
			逝			
			豉			
			筮			
			噬			
		8	蝕			
			食			
	r	4	讋			
		5	兒			
		7	二			
			寺		11110	
			字			
			牸			
			佴			
			刵			
			珥			
			餌			
		8	廿			
			念			
污	null	1	污			
			嗚			
			呼			
			于			
			吁			
			邘			
			圩			
			圬			
			捂			
			鳥			
			洿			
			盂			
			雩			
			盱			
			竽			
			紆			
			訏			
			鄔			
			迂			
		2	羽			
			宇			
			雨		00001	
			禹			
			詡			
			齵			
		3	塢			
			惡			
			堊			
			焐			
		5	娛			
			牾			
			吾			
			圄			
			浯			
			痦			
			鼯			
			齬			
			郚			
		6	有			
			銪			
	b	1	逋			
			酺			
			晡			
		3	富			
			布			
			佈			
			怖			
		5	瓠			
			煲			
		6	哺			
			捕			
	p	4	噗			
		5	涪			
			莆			
			菩			
			葡			
			蒱			
			蒲			
			蜉			
			浮			
	bh	2	侮			
			武			
			嫵			
			撫			
			憮			
			舞			
			碔			
			鵡			
		5	蕪			
			巫			
			廡			
			誣			
		6	務			
			婺			
			騖			
			鶩			
		7	霧			
	d	1	株			
			姝			
			嘟			
			誅			
			蛛			
		2	賭			
			楮			
			堵			
			睹			
		3	著			
		5	櫥			
			躕			
	t	4	腯			
		5	荼			
			途			
			搽			
			圖			
			儲			
			塗			
			徒			
			涂			
			躇			
			酴			
	l	1	嘍			
			夵			
			摟			
		2	嚕			
			僂			
			屢			
			擄			
			櫓			
			氌			
			褸			
			魯			
			塿			
			簍			
			縷			
			蔞			
			虜			
			鑥			
		5	婁			
			僂			
			盧			
			嶁			
			廬			
			摟			
			櫨			
			瀘			
			臚			
			轆			
			瞜			
			轤			
			鏤			
			顱			
			髏			
			鸕			
			蔞			
			蘆			
			螻			
		6	賂			
			潞			
			珞			
			鷺			
	g	1	咕			
			痀	佝		
			鴝			
			岣			
			劬			
			辜			
			軲			
			龜			
			呱			
			骷			
			蛄			
		2	久			
			盬			
			瞽			
			罟			
			蠱			
			詁			
			賈			
			韭			
			嘏			
		3	句			
			崮			
			固			
			故			
			泃			
			灸			
			顧			
			痼			
			錮			
		6	具			
			懼			
			埧			
			俱			
			犋			
			舅			
			颶			
			鵙			
		7	舊			
			故			
	k	1	區			
			佉			
			刳			
			坵			
			傴			
			嶇			
			拘			
			祛			
			摳			
			樞			
			胠			
			袪			
			軀			
			邱			
			駒			
			驅			
			朐			
			瞘			
		4	窟			
		6	臼			
			桕			
	gh	5	牛			
	h	1	夫			
			砆			
			乎			
			呼			
			伕			
			滹			
			桴			
			俘			
			嘑			
			孚			
			腐			
			孵			
			敷			
			罅			
			枹			
			膚			
			莩			
			虖			
			衭			
			趺			
			跗			
			郛			
			蜉			
			鄜			
			鈇			
			麩			
		2	府			
			栩			
			俯	頫		
			父			
			釜			
			滏			
			腑			
			甫			
			滸			
		3	附			
			付			
			拊			
			仆			
			傅			
			副			
			咐			
			駙			
			訃			
			賦			
			賻			
			赴			
		4	欻			
		5	互			
			壺			
			扶			
			蚨			
			餬			
			鬍			
			鳧			
			鶘			
			狐			
			猢			
			瑚			
			胡			
			符			
			糊			
			弧			
			芙			
			苻			
			蝴			
		6	負			
			冱			
			沍			
			婦			
			怙			
			岵			
			鄠			
			扈			
			護			
			蝜			
			輔			
			酗			
			阜			
			鮒			
			滬			
			煦			
			祜			
			穫			
			黼			
		7	乎			
			腐			
	z	1	朱			
			珠			
			侏			
			咀			
			櫫			
			櫧			
			瀦			
			殂			
			沮			
			徂			
			洙			
			硃			
			狙			
			疽			
			組			
			緅			
			苴			
			茱			
			菹			
			詛			
			諏			
			諸			
			趄			
			銖			
			邾			
			駔			
			齟			
			雎			
